,ID,Reason_absence,Month_absence,Day_week,Seasons,Transportation_expense,Distance_Residence_Work,Service_time,Age,Work_load_Average_day,Hit_target,Disciplinary_failure,Education,Son,Social_drinker,Social_smoker,Pet,Weight,Height,Body_mass_index,Absenteeism_hours
0,14,11,11,2,4,155,12,14,34,284.031,97,0,1,2,1,0,0,95,196,25,120
1,36,13,4,4,3,118,13,18,50,239.409,98,0,1,1,1,0,0,98,178,31,120
2,9,6,7,3,1,228,14,16,58,264.604,93,0,1,2,0,0,1,65,172,22,120
3,28,9,7,3,1,225,26,9,28,230.29,92,0,1,1,0,0,2,69,169,24,112
4,9,12,3,3,2,228,14,16,58,222.196,99,0,1,2,0,0,1,65,172,22,112
5,11,19,3,2,3,289,36,13,33,222.196,99,0,1,2,1,0,1,90,172,30,104
6,36,13,6,4,3,118,13,18,50,377.55,94,0,1,1,1,0,0,98,178,31,80
7,14,18,12,3,2,155,12,14,34,280.549,98,0,1,2,1,0,0,95,196,25,80
8,13,13,7,2,1,369,17,12,31,264.604,93,0,1,3,1,0,0,70,169,25,80
9,34,19,12,3,4,118,10,10,37,261.306,97,0,1,0,0,0,0,83,172,28,64
10,22,1,10,4,4,179,26,9,30,265.017,88,0,3,0,0,0,0,56,171,19,64
11,26,19,5,6,3,300,26,13,43,237.656,99,0,1,2,1,1,1,77,175,25,64
12,34,19,12,3,4,118,10,10,37,261.306,97,0,1,0,0,0,0,83,172,28,56
13,20,19,4,6,3,260,50,11,36,326.452,96,0,1,4,1,0,0,65,168,23,56
14,14,10,5,2,3,155,12,14,34,237.656,99,0,1,2,1,0,0,95,196,25,48
15,14,19,7,2,1,155,12,14,34,239.554,97,0,1,2,1,0,0,95,196,25,40
16,10,13,8,2,1,361,52,3,28,205.917,92,0,1,1,1,0,4,80,172,27,40
17,15,14,11,2,4,291,31,12,40,306.345,93,0,1,1,1,0,1,73,171,25,40
18,20,13,3,6,2,260,50,11,36,343.253,95,0,1,4,1,0,0,65,168,23,40
19,17,11,3,2,2,179,22,17,40,343.253,95,0,2,2,0,1,0,63,170,22,40
20,15,7,9,2,4,291,31,12,40,294.217,81,0,1,1,1,0,1,73,171,25,40
21,15,13,6,2,3,291,31,12,40,253.957,95,0,1,1,1,0,1,73,171,25,40
22,15,14,9,2,4,291,31,12,40,241.476,92,0,1,1,1,0,1,73,171,25,32
23,14,10,11,2,4,155,12,14,34,306.345,93,0,1,2,1,0,0,95,196,25,32
24,11,19,7,2,1,289,36,13,33,275.312,98,0,1,2,1,0,1,90,172,30,32
25,24,9,9,4,1,246,25,16,41,294.217,81,0,1,0,1,0,0,67,170,23,32
26,34,19,1,2,2,118,10,10,37,330.061,100,0,1,0,0,0,0,83,172,28,32
27,3,13,12,3,4,179,51,18,38,280.549,98,0,1,0,1,0,0,89,170,31,32
28,11,7,11,4,4,289,36,13,33,306.345,93,0,1,2,1,0,1,90,172,30,24
29,3,13,3,3,2,179,51,18,38,343.253,95,0,1,0,1,0,0,89,170,31,24
30,24,13,4,4,3,246,25,16,41,326.452,96,0,1,0,1,0,0,67,170,23,24
31,3,13,4,4,3,179,51,18,38,326.452,96,0,1,0,1,0,0,89,170,31,24
32,14,12,4,4,3,155,12,14,34,326.452,96,0,1,2,1,0,0,95,196,25,24
33,11,13,5,4,3,289,36,13,33,378.884,92,0,1,2,1,0,1,90,172,30,24
34,36,13,5,4,3,118,13,18,50,378.884,92,0,1,1,1,0,0,98,178,31,24
35,24,10,6,3,3,246,25,16,41,377.55,94,0,1,0,1,0,0,67,170,23,24
36,11,19,9,4,1,289,36,13,33,294.217,81,0,1,2,1,0,1,90,172,30,24
37,24,10,2,6,2,246,25,16,41,251.818,96,0,1,0,1,0,0,67,170,23,24
38,3,28,6,2,3,179,51,18,38,253.957,95,0,1,0,1,0,0,89,170,31,24
39,18,2,11,4,4,330,16,4,28,268.519,93,0,2,0,0,0,0,84,182,25,24
40,22,12,1,2,2,179,26,9,30,313.532,96,0,3,0,0,0,0,56,171,19,24
41,14,13,3,4,3,155,12,14,34,222.196,99,0,1,2,1,0,0,95,196,25,24
42,13,7,4,2,3,369,17,12,31,246.288,91,0,1,3,1,0,0,70,169,25,24
43,36,19,6,5,3,118,13,18,50,275.089,96,0,1,1,1,0,0,98,178,31,24
44,20,19,10,5,4,260,50,11,36,253.465,93,0,1,4,1,0,0,65,168,23,16
45,14,1,3,2,2,155,12,14,34,343.253,95,0,1,2,1,0,0,95,196,25,16
46,20,26,3,2,2,260,50,11,36,343.253,95,0,1,4,1,0,0,65,168,23,16
47,28,11,3,4,3,225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24,16
48,7,14,3,5,3,279,5,14,39,343.253,95,0,1,2,1,1,0,68,168,24,16
49,11,13,4,5,3,289,36,13,33,326.452,96,0,1,2,1,0,1,90,172,30,16
50,1,13,6,6,3,235,11,14,37,377.55,94,0,3,1,0,0,1,88,172,29,16
51,14,19,7,3,1,155,12,14,34,275.312,98,0,1,2,1,0,0,95,196,25,16
52,24,9,9,2,1,246,25,16,41,294.217,81,0,1,0,1,0,0,67,170,23,16
53,11,19,10,5,4,289,36,13,33,265.017,88,0,1,2,1,0,1,90,172,30,16
54,22,23,10,5,4,179,26,9,30,265.017,88,0,3,0,0,0,0,56,171,19,16
55,30,11,2,4,2,157,27,6,29,251.818,96,0,1,0,1,1,0,75,185,22,16
56,24,19,3,4,2,246,25,16,41,244.387,98,0,1,0,1,0,0,67,170,23,16
57,3,28,3,2,2,179,51,18,38,244.387,98,0,1,0,1,0,0,89,170,31,16
58,5,13,5,2,3,235,20,13,43,246.074,99,0,1,1,1,0,0,106,167,38,16
59,18,23,8,5,1,330,16,4,28,249.797,93,0,2,0,0,0,0,84,182,25,16
60,22,13,12,3,4,179,26,9,30,280.549,98,0,3,0,0,0,0,56,171,19,16
61,22,12,1,5,2,179,26,9,30,313.532,96,0,3,0,0,0,0,56,171,19,16
62,6,22,7,3,1,189,29,13,33,264.604,93,0,1,2,0,0,2,69,167,25,16
63,10,22,7,6,1,361,52,3,28,239.554,97,0,1,1,1,0,4,80,172,27,8
64,1,22,7,2,1,235,11,14,37,239.554,97,0,3,1,0,0,1,88,172,29,8
65,20,1,7,2,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23,8
66,20,1,7,3,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23,8
67,20,11,7,4,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23,8
68,24,14,7,6,1,246,25,16,41,239.554,97,0,1,0,1,0,0,67,170,23,8
69,3,21,7,2,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,8
70,6,11,7,5,1,189,29,13,33,239.554,97,0,1,2,0,0,2,69,167,25,8
71,18,10,8,4,1,330,16,4,28,205.917,92,0,2,0,0,0,0,84,182,25,8
72,11,18,8,2,1,289,36,13,33,205.917,92,0,1,2,1,0,1,90,172,30,8
73,11,18,8,4,1,289,36,13,33,205.917,92,0,1,2,1,0,1,90,172,30,8
74,3,18,8,2,1,179,51,18,38,205.917,92,0,1,0,1,0,0,89,170,31,8
75,2,18,8,5,1,235,29,12,48,205.917,92,0,1,1,0,1,5,88,163,33,8
76,2,18,8,2,1,235,29,12,48,205.917,92,0,1,1,0,1,5,88,163,33,8
77,11,24,8,3,1,289,36,13,33,205.917,92,0,1,2,1,0,1,90,172,30,8
78,2,28,8,6,1,235,29,12,48,205.917,92,0,1,1,0,1,5,88,163,33,8
79,5,19,9,3,1,235,20,13,43,241.476,92,0,1,1,1,0,0,106,167,38,8
80,20,22,9,6,1,260,50,11,36,241.476,92,0,1,4,1,0,0,65,168,23,8
81,3,23,10,4,4,179,51,18,38,253.465,93,0,1,0,1,0,0,89,170,31,8
82,15,14,10,3,4,291,31,12,40,253.465,93,0,1,1,1,0,1,73,171,25,8
83,11,26,10,4,4,289,36,13,33,253.465,93,0,1,2,1,0,1,90,172,30,8
84,3,13,11,5,4,179,51,18,38,306.345,93,0,1,0,1,0,0,89,170,31,8
85,17,21,11,5,4,179,22,17,40,306.345,93,0,2,2,0,1,0,63,170,22,8
86,6,22,11,2,4,189,29,13,33,306.345,93,0,1,2,0,0,2,69,167,25,8
87,14,6,11,6,4,155,12,14,34,306.345,93,0,1,2,1,0,0,95,196,25,8
88,17,21,11,4,4,179,22,17,40,306.345,93,0,2,2,0,1,0,63,170,22,8
89,1,26,12,4,4,235,11,14,37,261.306,97,0,3,1,0,0,1,88,172,29,8
90,20,26,12,6,4,260,50,11,36,261.306,97,0,1,4,1,0,0,65,168,23,8
91,10,22,12,4,4,361,52,3,28,261.306,97,0,1,1,1,0,4,80,172,27,8
93,24,19,12,6,2,246,25,16,41,261.306,97,0,1,0,1,0,0,67,170,23,8
94,14,18,1,3,2,155,12,14,34,308.593,95,0,1,2,1,0,0,95,196,25,8
95,22,18,1,3,2,179,26,9,30,308.593,95,0,3,0,0,0,0,56,171,19,8
96,11,18,1,3,2,289,36,13,33,308.593,95,0,1,2,1,0,1,90,172,30,8
97,24,1,2,4,2,246,25,16,41,302.585,99,0,1,0,1,0,0,67,170,23,8
98,3,11,2,4,2,179,51,18,38,302.585,99,0,1,0,1,0,0,89,170,31,8
99,6,23,2,5,2,189,29,13,33,302.585,99,0,1,2,0,0,2,69,167,25,8
100,11,22,2,6,2,289,36,13,33,302.585,99,0,1,2,1,0,1,90,172,30,8
101,31,11,2,2,2,388,15,9,50,302.585,99,0,1,0,0,0,0,76,178,24,8
102,31,1,2,3,2,388,15,9,50,302.585,99,0,1,0,0,0,0,76,178,24,8
103,27,23,2,3,2,184,42,7,27,302.585,99,0,1,0,0,0,0,58,167,21,8
104,18,18,2,2,2,330,16,4,28,302.585,99,0,2,0,0,0,0,84,182,25,8
105,6,19,2,5,2,189,29,13,33,302.585,99,0,1,2,0,0,2,69,167,25,8
106,20,19,3,3,2,260,50,11,36,343.253,95,0,1,4,1,0,0,65,168,23,8
107,17,17,3,3,2,179,22,17,40,343.253,95,0,2,2,0,1,0,63,170,22,8
108,15,22,3,4,2,291,31,12,40,343.253,95,0,1,1,1,0,1,73,171,25,8
109,20,13,3,4,2,260,50,11,36,343.253,95,0,1,4,1,0,0,65,168,23,8
110,22,13,3,5,2,179,26,9,30,343.253,95,0,3,0,0,0,0,56,171,19,8
111,14,13,3,3,2,155,12,14,34,343.253,95,0,1,2,1,0,0,95,196,25,8
112,11,6,3,5,2,289,36,13,33,343.253,95,0,1,2,1,0,1,90,172,30,8
113,17,8,3,5,2,179,22,17,40,343.253,95,0,2,2,0,1,0,63,170,22,8
114,7,14,3,2,2,279,5,14,39,343.253,95,0,1,2,1,1,0,68,168,24,8
115,28,11,3,2,3,225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24,8
116,28,11,3,3,3,225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24,8
117,24,14,4,6,3,246,25,16,41,326.452,96,0,1,0,1,0,0,67,170,23,8
118,33,28,4,6,3,248,25,14,47,326.452,96,0,1,2,0,0,1,86,165,32,8
119,11,19,4,3,3,289,36,13,33,326.452,96,0,1,2,1,0,1,90,172,30,8
120,23,19,4,4,3,378,49,11,36,326.452,96,0,1,2,0,1,4,65,174,21,8
121,11,13,5,4,3,289,36,13,33,378.884,92,0,1,2,1,0,1,90,172,30,8
122,3,18,5,3,3,179,51,18,38,378.884,92,0,1,0,1,0,0,89,170,31,8
123,28,19,5,3,3,225,26,9,28,378.884,92,0,1,1,0,0,2,69,169,24,8
124,10,22,5,6,3,361,52,3,28,378.884,92,0,1,1,1,0,4,80,172,27,8
125,24,19,6,2,3,246,25,16,41,377.55,94,0,1,0,1,0,0,67,170,23,8
126,10,22,6,2,3,361,52,3,28,377.55,94,0,1,1,1,0,4,80,172,27,8
127,24,10,6,6,3,246,25,16,41,377.55,94,0,1,0,1,0,0,67,170,23,8
128,3,11,6,2,3,179,51,18,38,377.55,94,0,1,0,1,0,0,89,170,31,8
129,24,10,6,2,3,246,25,16,41,377.55,94,0,1,0,1,0,0,67,170,23,8
130,36,13,6,4,3,118,13,18,50,377.55,94,0,1,1,1,0,0,98,178,31,8
131,23,22,6,5,3,378,49,11,36,377.55,94,0,1,2,0,1,4,65,174,21,8
132,36,1,7,4,1,118,13,18,50,275.312,98,0,1,1,1,0,0,98,178,31,8
133,34,5,7,6,1,118,10,10,37,275.312,98,0,1,0,0,0,0,83,172,28,8
134,18,26,7,3,1,330,16,4,28,275.312,98,0,2,0,0,0,0,84,182,25,8
135,22,18,7,5,1,179,26,9,30,275.312,98,0,3,0,0,0,0,56,171,19,8
136,18,1,7,2,1,330,16,4,28,275.312,98,0,2,0,0,0,0,84,182,25,8
137,18,1,7,3,1,330,16,4,28,275.312,98,0,2,0,0,0,0,84,182,25,8
138,10,22,7,3,1,361,52,3,28,275.312,98,0,1,1,1,0,4,80,172,27,8
139,11,26,7,4,1,289,36,13,33,275.312,98,0,1,2,1,0,1,90,172,30,8
140,3,26,7,5,1,179,51,18,38,275.312,98,0,1,0,1,0,0,89,170,31,8
141,11,19,7,5,1,289,36,13,33,275.312,98,0,1,2,1,0,1,90,172,30,8
142,11,19,8,6,1,289,36,13,33,265.615,94,0,1,2,1,0,1,90,172,30,8
143,9,18,8,3,1,228,14,16,58,265.615,94,0,1,2,0,0,1,65,172,22,8
144,21,11,8,5,1,268,11,8,33,265.615,94,0,2,0,0,0,0,79,178,25,8
145,1,19,8,5,1,235,11,14,37,265.615,94,0,3,1,0,0,1,88,172,29,8
146,10,8,8,3,1,361,52,3,28,265.615,94,0,1,1,1,0,4,80,172,27,8
147,27,6,8,4,1,184,42,7,27,265.615,94,0,1,0,0,0,0,58,167,21,8
148,3,11,9,2,1,179,51,18,38,294.217,81,0,1,0,1,0,0,89,170,31,8
149,3,13,9,4,1,179,51,18,38,294.217,81,0,1,0,1,0,0,89,170,31,8
150,5,26,9,4,4,235,20,13,43,294.217,81,0,1,1,1,0,0,106,167,38,8
151,3,13,9,2,4,179,51,18,38,294.217,81,0,1,0,1,0,0,89,170,31,8
152,11,24,10,2,4,289,36,13,33,265.017,88,0,1,2,1,0,1,90,172,30,8
153,11,26,10,2,4,289,36,13,33,265.017,88,0,1,2,1,0,1,90,172,30,8
154,11,22,10,6,4,289,36,13,33,265.017,88,0,1,2,1,0,1,90,172,30,8
155,22,1,10,2,4,179,26,9,30,265.017,88,0,3,0,0,0,0,56,171,19,8
156,13,22,10,2,4,369,17,12,31,265.017,88,0,1,3,1,0,0,70,169,25,8
157,10,10,10,2,4,361,52,3,28,265.017,88,0,1,1,1,0,4,80,172,27,8
158,34,11,11,2,4,118,10,10,37,284.031,97,0,1,0,0,0,0,83,172,28,8
159,3,6,11,3,4,179,51,18,38,284.031,97,0,1,0,1,0,0,89,170,31,8
160,23,1,11,2,4,378,49,11,36,284.031,97,0,1,2,0,1,4,65,174,21,8
161,5,26,11,2,4,235,20,13,43,284.031,97,0,1,1,1,0,0,106,167,38,8
162,24,13,11,6,4,246,25,16,41,284.031,97,0,1,0,1,0,0,67,170,23,8
163,24,13,11,2,4,246,25,16,41,284.031,97,0,1,0,1,0,0,67,170,23,8
164,20,10,11,4,4,260,50,11,36,284.031,97,0,1,4,1,0,0,65,168,23,8
165,20,15,11,6,4,260,50,11,36,284.031,97,0,1,4,1,0,0,65,168,23,8
166,24,4,12,5,4,246,25,16,41,236.629,93,0,1,0,1,0,0,67,170,23,8
167,34,25,12,3,4,118,10,10,37,236.629,93,0,1,0,0,0,0,83,172,28,8
168,5,13,12,3,2,235,20,13,43,236.629,93,0,1,1,1,0,0,106,167,38,8
169,20,26,12,4,2,260,50,11,36,236.629,93,0,1,4,1,0,0,65,168,23,8
170,11,19,12,2,2,289,36,13,33,236.629,93,0,1,2,1,0,1,90,172,30,8
171,11,26,1,2,2,289,36,13,33,330.061,100,0,1,2,1,0,1,90,172,30,8
172,15,3,1,4,2,291,31,12,40,330.061,100,0,1,1,1,0,1,73,171,25,8
173,5,26,1,2,2,235,20,13,43,330.061,100,0,1,1,1,0,0,106,167,38,8
174,3,10,2,5,2,179,51,18,38,251.818,96,0,1,0,1,0,0,89,170,31,8
175,24,26,2,5,2,246,25,16,41,251.818,96,0,1,0,1,0,0,67,170,23,8
176,6,22,2,2,2,189,29,13,33,251.818,96,0,1,2,0,0,2,69,167,25,8
177,34,18,3,3,2,118,10,10,37,244.387,98,0,1,0,0,0,0,83,172,28,8
178,1,22,3,2,2,235,11,14,37,244.387,98,0,3,1,0,0,1,88,172,29,8
179,17,22,3,3,2,179,22,17,40,244.387,98,0,2,2,0,1,0,63,170,22,8
180,23,22,3,3,2,378,49,11,36,244.387,98,0,1,2,0,1,4,65,174,21,8
181,10,22,3,4,2,361,52,3,28,244.387,98,0,1,1,1,0,4,80,172,27,8
182,1,21,3,5,2,235,11,14,37,244.387,98,0,3,1,0,0,1,88,172,29,8
183,36,13,3,4,3,118,13,18,50,244.387,98,0,1,1,1,0,0,98,178,31,8
184,3,28,3,6,3,179,51,18,38,244.387,98,0,1,0,1,0,0,89,170,31,8
185,11,22,3,6,3,289,36,13,33,244.387,98,0,1,2,1,0,1,90,172,30,8
186,20,19,3,2,3,260,50,11,36,244.387,98,0,1,4,1,0,0,65,168,23,8
187,18,23,4,4,3,330,16,4,28,239.409,98,0,2,0,0,0,0,84,182,25,8
188,3,28,4,4,3,179,51,18,38,239.409,98,0,1,0,1,0,0,89,170,31,8
189,26,28,4,6,3,300,26,13,43,239.409,98,0,1,2,1,1,1,77,175,25,8
190,13,10,5,2,3,369,17,12,31,246.074,99,0,1,3,1,0,0,70,169,25,8
191,9,18,5,4,3,228,14,16,58,246.074,99,0,1,2,0,0,1,65,172,22,8
192,18,13,5,6,3,330,16,4,28,246.074,99,0,2,0,0,0,0,84,182,25,8
193,1,1,5,2,3,235,11,14,37,246.074,99,0,3,1,0,0,1,88,172,29,8
194,5,26,6,3,3,235,20,13,43,253.957,95,0,1,1,1,0,0,106,167,38,8
195,3,5,6,4,1,179,51,18,38,253.957,95,0,1,0,1,0,0,89,170,31,8
196,1,13,6,3,1,235,11,14,37,253.957,95,0,3,1,0,0,1,88,172,29,8
197,20,13,7,6,1,260,50,11,36,230.29,92,0,1,4,1,0,0,65,168,23,8
198,21,7,7,2,1,268,11,8,33,230.29,92,0,2,0,0,0,0,79,178,25,8
199,18,25,7,6,1,330,16,4,28,230.29,92,0,2,0,0,0,0,84,182,25,8
200,34,26,7,6,1,118,10,10,37,230.29,92,0,1,0,0,0,0,83,172,28,8
201,34,28,7,3,1,118,10,10,37,230.29,92,0,1,0,0,0,0,83,172,28,8
202,26,15,7,2,1,300,26,13,43,230.29,92,0,1,2,1,1,1,77,175,25,8
203,10,22,7,6,1,361,52,3,28,230.29,92,0,1,1,1,0,4,80,172,27,8
204,11,22,7,2,1,289,36,13,33,230.29,92,0,1,2,1,0,1,90,172,30,8
205,5,26,7,2,1,235,20,13,43,230.29,92,0,1,1,1,0,0,106,167,38,8
206,11,26,8,3,1,289,36,13,33,249.797,93,0,1,2,1,0,1,90,172,30,8
207,5,26,8,3,1,235,20,13,43,249.797,93,0,1,1,1,0,0,106,167,38,8
208,17,25,8,3,1,179,22,17,40,249.797,93,0,2,2,0,1,0,63,170,22,8
209,22,23,9,6,1,179,26,9,30,261.756,87,0,3,0,0,0,0,56,171,19,8
210,13,23,9,3,4,369,17,12,31,261.756,87,0,1,3,1,0,0,70,169,25,8
211,10,22,9,3,4,361,52,3,28,261.756,87,0,1,1,1,0,4,80,172,27,8
212,24,26,10,6,4,246,25,16,41,284.853,91,0,1,0,1,0,0,67,170,23,8
213,13,23,10,3,4,369,17,12,31,284.853,91,0,1,3,1,0,0,70,169,25,8
214,13,26,10,3,4,369,17,12,31,284.853,91,0,1,3,1,0,0,70,169,25,8
215,13,10,10,5,4,369,17,12,31,284.853,91,0,1,3,1,0,0,70,169,25,8
216,13,10,10,6,4,369,17,12,31,284.853,91,0,1,3,1,0,0,70,169,25,8
217,6,23,10,2,4,189,29,13,33,284.853,91,0,1,2,0,0,2,69,167,25,8
218,25,6,10,2,4,235,16,8,32,284.853,91,0,3,0,0,0,0,75,178,25,8
219,33,10,10,2,4,248,25,14,47,284.853,91,0,1,2,0,0,1,86,165,32,8
220,34,9,11,3,4,118,10,10,37,268.519,93,0,1,0,0,0,0,83,172,28,8
221,11,24,11,4,4,289,36,13,33,268.519,93,0,1,2,1,0,1,90,172,30,8
222,25,1,11,6,4,235,16,8,32,268.519,93,0,3,0,0,0,0,75,178,25,8
223,10,22,11,3,4,361,52,3,28,268.519,93,0,1,1,1,0,4,80,172,27,8
224,34,23,11,2,4,118,10,10,37,268.519,93,0,1,0,0,0,0,83,172,28,8
225,34,8,11,3,4,118,10,10,37,268.519,93,0,1,0,0,0,0,83,172,28,8
226,13,26,11,6,4,369,17,12,31,268.519,93,0,1,3,1,0,0,70,169,25,8
227,5,26,12,6,4,235,20,13,43,280.549,98,0,1,1,1,0,0,106,167,38,8
228,12,18,12,2,4,233,51,1,31,280.549,98,0,2,1,1,0,8,68,178,21,8
229,32,10,1,5,2,289,48,29,49,313.532,96,0,1,0,0,0,2,108,172,36,8
230,14,18,1,3,2,155,12,14,34,313.532,96,0,1,2,1,0,0,95,196,25,8
231,11,13,1,4,2,289,36,13,33,313.532,96,0,1,2,1,0,1,90,172,30,8
232,3,13,2,3,2,179,51,18,38,264.249,97,0,1,0,1,0,0,89,170,31,8
233,33,1,2,4,2,248,25,14,47,264.249,97,0,1,2,0,0,1,86,165,32,8
234,28,7,2,3,2,225,26,9,28,264.249,97,0,1,1,0,0,2,69,169,24,8
235,3,13,2,5,2,179,51,18,38,264.249,97,0,1,0,1,0,0,89,170,31,8
236,10,19,3,2,2,361,52,3,28,222.196,99,0,1,1,1,0,4,80,172,27,8
237,3,13,3,3,2,179,51,18,38,222.196,99,0,1,0,1,0,0,89,170,31,8
238,28,7,3,2,2,225,26,9,28,222.196,99,0,1,1,0,0,2,69,169,24,8
239,11,23,3,4,2,289,36,13,33,222.196,99,0,1,2,1,0,1,90,172,30,8
240,16,23,3,4,3,118,15,24,46,222.196,99,0,1,2,1,1,0,75,175,25,8
241,13,22,3,4,3,369,17,12,31,222.196,99,0,1,3,1,0,0,70,169,25,8
242,28,13,4,2,3,225,26,9,28,246.288,91,0,1,1,0,0,2,69,169,24,8
243,34,10,4,2,3,118,10,10,37,246.288,91,0,1,0,0,0,0,83,172,28,8
244,10,19,4,3,3,361,52,3,28,246.288,91,0,1,1,1,0,4,80,172,27,8
245,33,19,4,4,3,248,25,14,47,246.288,91,0,1,2,0,0,1,86,165,32,8
246,6,13,4,5,3,189,29,13,33,246.288,91,0,1,2,0,0,2,69,167,25,8
247,1,22,4,6,3,235,11,14,37,246.288,91,0,3,1,0,0,1,88,172,29,8
248,28,19,4,2,3,225,26,9,28,246.288,91,0,1,1,0,0,2,69,169,24,8
249,28,19,4,5,3,225,26,9,28,246.288,91,0,1,1,0,0,2,69,169,24,8
250,1,22,5,2,3,235,11,14,37,237.656,99,0,3,1,0,0,1,88,172,29,8
251,5,26,5,4,3,235,20,13,43,237.656,99,0,1,1,1,0,0,106,167,38,8
252,29,14,5,5,3,225,15,15,41,237.656,99,0,4,2,1,0,2,94,182,28,8
253,29,22,5,6,3,225,15,15,41,237.656,99,0,4,2,1,0,2,94,182,28,8
254,25,10,5,2,3,235,16,8,32,237.656,99,0,3,0,0,0,0,75,178,25,8
255,15,22,5,4,3,291,31,12,40,237.656,99,0,1,1,1,0,1,73,171,25,8
256,17,10,5,4,3,179,22,17,40,237.656,99,0,2,2,0,1,0,63,170,22,8
257,18,10,5,5,3,330,16,4,28,237.656,99,0,2,0,0,0,0,84,182,25,8
258,10,7,5,2,3,361,52,3,28,237.656,99,0,1,1,1,0,4,80,172,27,8
259,17,25,5,6,3,179,22,17,40,237.656,99,0,2,2,0,1,0,63,170,22,8
260,14,10,5,6,3,155,12,14,34,237.656,99,0,1,2,1,0,0,95,196,25,8
261,16,7,6,4,3,118,15,24,46,275.089,96,0,1,2,1,1,0,75,175,25,8
262,34,26,6,6,3,118,10,10,37,275.089,96,0,1,0,0,0,0,83,172,28,8
263,34,10,6,4,3,118,10,10,37,275.089,96,0,1,0,0,0,0,83,172,28,8
264,23,22,6,5,3,378,49,11,36,275.089,96,0,1,2,0,1,4,65,174,21,8
265,12,19,6,6,3,233,51,1,31,275.089,96,0,2,1,1,0,8,68,178,21,8
266,12,22,6,5,1,233,51,1,31,275.089,96,0,2,1,1,0,8,68,178,21,8
