,ID,Reason_absence,Month_absence,Day_week,Seasons,Work_load_Average_day,Hit_target,Disciplinary_failure,Absenteeism_hours
0,1,18,11,4,4,"284,031",97,0,1
1,1,13,1,3,2,"330,061",100,0,1
2,1,13,6,6,3,"377,55",94,0,16
3,1,11,7,3,1,"264,604",93,0,4
4,1,0,3,5,3,"244,387",98,1,0
5,1,14,12,3,2,"236,629",93,0,4
6,1,23,12,2,4,"236,629",93,0,3
7,1,22,4,6,3,"246,288",91,0,8
8,1,21,3,5,2,"244,387",98,0,8
9,1,26,10,2,4,"265,017",88,0,4
10,1,13,6,3,1,"253,957",95,0,8
11,1,22,5,2,3,"237,656",99,0,8
12,1,7,4,6,3,"326,452",96,0,3
13,1,25,11,5,4,"284,031",97,0,2
14,1,22,7,2,1,"239,554",97,0,8
15,1,25,12,5,4,"236,629",93,0,2
16,1,22,3,2,2,"244,387",98,0,8
17,1,1,5,2,3,"246,074",99,0,8
18,1,23,8,3,1,"249,797",93,0,4
19,1,23,8,3,1,"265,615",94,0,1
20,1,23,8,5,1,"205,917",92,0,4
21,1,19,8,5,1,"265,615",94,0,8
22,1,26,12,4,4,"261,306",97,0,8
23,2,18,8,2,1,"205,917",92,0,8
24,2,0,4,2,3,"326,452",96,1,0
25,2,28,8,6,1,"205,917",92,0,8
26,2,0,6,2,3,"275,089",96,1,0
27,2,23,7,2,1,"230,29",92,0,1
28,2,18,8,5,1,"205,917",92,0,8
29,3,27,1,4,2,"313,532",96,0,3
30,3,27,1,5,2,"313,532",96,0,3
31,3,27,3,4,3,"222,196",99,0,3
32,3,27,2,4,2,"264,249",97,0,3
33,3,27,2,5,2,"264,249",97,0,3
34,3,28,10,4,4,"265,017",88,0,1
35,3,28,1,4,2,"330,061",100,0,1
36,3,13,11,5,4,"306,345",93,0,8
37,3,27,3,5,2,"222,196",99,0,3
38,3,11,2,4,2,"302,585",99,0,8
39,3,27,2,6,2,"264,249",97,0,3
40,3,5,6,4,1,"253,957",95,0,8
41,3,27,3,3,3,"222,196",99,0,3
42,3,27,3,6,2,"222,196",99,0,3
43,3,28,10,4,4,"284,853",91,0,3
44,3,10,3,2,2,"222,196",99,0,4
45,3,27,3,2,2,"222,196",99,0,3
46,3,28,1,6,2,"330,061",100,0,1
47,3,23,11,5,4,"306,345",93,0,1
48,3,18,5,3,3,"378,884",92,0,8
49,3,27,2,2,2,"251,818",96,0,3
50,3,28,11,3,4,"284,031",97,0,1
51,3,6,11,3,4,"284,031",97,0,8
52,3,23,11,5,4,"284,031",97,0,1
53,3,28,12,2,4,"236,629",93,0,1
54,3,23,9,5,1,"294,217",81,0,1
55,3,23,10,6,4,"253,465",93,0,3
56,3,13,9,2,4,"294,217",81,0,8
57,3,13,9,4,1,"294,217",81,0,8
58,3,11,9,2,1,"294,217",81,0,8
59,3,28,12,5,4,"236,629",93,0,1
60,3,13,3,4,3,"343,253",95,0,3
61,3,10,2,5,2,"251,818",96,0,8
62,3,23,10,3,4,"253,465",93,0,3
63,3,28,6,2,3,"253,957",95,0,3
64,3,26,7,5,1,"275,312",98,0,8
65,3,23,9,4,4,"241,476",92,0,3
66,3,12,5,3,3,"378,884",92,0,1
67,3,23,9,6,1,"294,217",81,0,3
68,3,28,12,6,4,"236,629",93,0,1
69,3,28,11,5,4,"284,031",97,0,3
70,3,11,6,2,3,"377,55",94,0,8
71,3,28,12,2,2,"236,629",93,0,3
72,3,28,3,6,3,"244,387",98,0,8
73,3,27,2,4,2,"251,818",96,0,3
74,3,23,9,3,1,"241,476",92,0,3
75,3,28,4,4,3,"239,409",98,0,8
76,3,23,2,6,2,"251,818",96,0,3
77,3,27,2,6,2,"251,818",96,0,3
78,3,23,9,6,4,"241,476",92,0,3
79,3,27,3,5,3,"222,196",99,0,3
80,3,11,5,3,3,"378,884",92,0,1
81,3,27,2,3,2,"264,249",97,0,2
82,3,27,3,3,2,"222,196",99,0,2
83,3,27,3,4,2,"222,196",99,0,2
84,3,13,2,5,2,"264,249",97,0,8
85,3,27,3,2,2,"222,196",99,0,2
86,3,13,3,3,2,"222,196",99,0,8
87,3,28,6,2,3,"253,957",95,0,24
88,3,28,7,3,1,"230,29",92,0,1
89,3,28,4,4,3,"239,409",98,0,4
90,3,11,6,6,3,"377,55",94,0,2
91,3,13,4,4,3,"326,452",96,0,24
92,3,27,2,2,2,"264,249",97,0,2
93,3,13,3,3,2,"343,253",95,0,24
94,3,28,4,2,3,"239,409",98,0,4
95,3,13,12,3,4,"280,549",98,0,32
96,3,27,2,6,2,"264,249",97,0,2
97,3,28,12,2,4,"236,629",93,0,2
98,3,28,11,6,4,"268,519",93,0,1
99,3,21,11,3,4,"268,519",93,0,1
100,3,27,2,5,2,"264,249",97,0,2
101,3,27,2,2,2,"251,818",96,0,2
102,3,28,3,2,2,"244,387",98,0,2
103,3,27,2,4,2,"264,249",97,0,2
104,3,27,1,6,2,"313,532",96,0,2
105,3,28,6,2,1,"253,957",95,0,2
106,3,23,9,3,1,"241,476",92,0,4
107,3,23,7,4,1,"239,554",97,0,4
108,3,28,11,2,4,"268,519",93,0,1
109,3,13,2,3,2,"264,249",97,0,8
110,3,23,10,4,4,"253,465",93,0,8
111,3,23,7,6,1,"239,554",97,0,2
112,3,11,7,4,1,"239,554",97,0,1
113,3,28,6,2,3,"253,957",95,0,4
114,3,23,7,4,1,"239,554",97,0,2
115,3,11,8,2,1,"205,917",92,0,1
116,3,25,8,2,1,"249,797",93,0,4
117,3,21,7,2,1,"239,554",97,0,8
118,3,23,9,2,1,"261,756",87,0,4
119,3,28,3,2,2,"244,387",98,0,16
120,3,0,6,6,3,"253,957",95,1,0
121,3,25,8,5,1,"249,797",93,0,4
122,3,23,8,6,1,"205,917",92,0,2
123,3,23,8,2,1,"205,917",92,0,2
124,3,18,8,2,1,"205,917",92,0,8
125,3,28,5,4,3,"246,074",99,0,4
126,4,0,0,3,1,"271,219",95,0,0
127,5,13,12,3,2,"236,629",93,0,8
128,5,0,9,5,1,"294,217",81,1,0
129,5,0,9,5,4,"294,217",81,1,0
130,5,26,9,4,4,"294,217",81,0,8
131,5,0,10,4,4,"265,017",88,1,0
132,5,26,11,2,4,"284,031",97,0,8
133,5,26,1,2,2,"330,061",100,0,8
134,5,26,8,3,1,"249,797",93,0,8
135,5,23,10,2,4,"265,017",88,0,2
136,5,26,7,2,1,"230,29",92,0,8
137,5,26,5,4,3,"237,656",99,0,8
138,5,26,12,6,4,"280,549",98,0,8
139,5,19,9,3,1,"241,476",92,0,8
140,5,0,11,5,4,"268,519",93,1,0
141,5,0,10,6,4,"265,017",88,1,0
142,5,13,5,2,3,"246,074",99,0,16
143,5,26,7,4,1,"264,604",93,0,4
144,5,26,6,3,3,"253,957",95,0,8
145,6,19,2,5,2,"302,585",99,0,8
146,6,13,4,5,3,"246,288",91,0,8
147,6,11,7,5,1,"239,554",97,0,8
148,6,22,11,2,4,"306,345",93,0,8
149,6,23,2,5,2,"302,585",99,0,8
150,6,23,10,2,4,"284,853",91,0,8
151,6,22,7,3,1,"264,604",93,0,16
152,6,22,2,2,2,"251,818",96,0,8
153,7,23,7,5,1,"230,29",92,0,2
154,7,0,5,4,3,"378,884",92,1,0
155,7,7,7,5,1,"239,554",97,0,4
156,7,0,11,3,4,"284,031",97,1,0
157,7,14,3,5,3,"343,253",95,0,16
158,7,14,3,2,2,"343,253",95,0,8
159,8,0,9,3,1,"294,217",81,1,0
160,8,0,0,4,2,"271,219",95,0,0
161,9,6,7,2,1,"264,604",93,0,8
162,9,18,5,4,3,"246,074",99,0,8
163,9,1,10,4,4,"284,853",91,0,1
164,9,25,3,3,2,"222,196",99,0,3
165,9,6,7,3,1,"264,604",93,0,120
166,9,12,3,3,2,"222,196",99,0,112
167,9,18,8,3,1,"265,615",94,0,8
168,9,25,3,4,2,"222,196",99,0,2
169,10,23,10,6,4,"253,465",93,0,1
170,10,22,12,4,4,"261,306",97,0,8
171,10,22,7,6,1,"230,29",92,0,8
172,10,23,8,2,1,"205,917",92,0,1
173,10,22,9,3,4,"261,756",87,0,8
174,10,23,5,5,3,"246,074",99,0,1
175,10,22,7,6,1,"239,554",97,0,8
176,10,10,10,2,4,"265,017",88,0,8
177,10,14,12,5,4,"280,549",98,0,4
178,10,19,3,2,2,"222,196",99,0,8
179,10,19,4,3,3,"246,288",91,0,8
180,10,13,8,2,1,"205,917",92,0,40
181,10,7,5,2,3,"237,656",99,0,8
182,10,25,8,2,1,"205,917",92,0,7
183,10,22,11,3,4,"268,519",93,0,8
184,10,23,4,3,3,"246,288",91,0,2
185,10,28,11,2,4,"268,519",93,0,2
186,10,22,7,4,1,"264,604",93,0,8
187,10,22,7,3,1,"275,312",98,0,8
188,10,22,3,4,2,"244,387",98,0,8
189,10,22,6,2,3,"377,55",94,0,8
190,10,22,5,6,3,"378,884",92,0,8
191,10,8,8,3,1,"265,615",94,0,8
192,11,22,10,6,4,"265,017",88,0,8
193,11,7,11,4,4,"306,345",93,0,24
194,11,22,1,5,2,"308,593",95,0,3
195,11,23,8,2,1,"265,615",94,0,1
196,11,19,4,3,3,"326,452",96,0,8
197,11,13,5,4,3,"378,884",92,0,24
198,11,24,11,4,4,"268,519",93,0,8
199,11,23,7,5,1,"239,554",97,0,2
200,11,26,7,4,1,"275,312",98,0,8
201,11,19,7,2,1,"275,312",98,0,32
202,11,0,11,4,4,"268,519",93,1,0
203,11,26,1,2,2,"330,061",100,0,8
204,11,13,4,5,3,"326,452",96,0,16
205,11,13,5,4,3,"378,884",92,0,8
206,11,19,9,4,1,"294,217",81,0,24
207,11,23,3,4,2,"222,196",99,0,8
208,11,13,1,4,2,"313,532",96,0,8
209,11,19,7,5,1,"275,312",98,0,8
210,11,0,9,3,4,"241,476",92,1,0
211,11,19,10,5,4,"265,017",88,0,16
212,11,14,7,3,1,"264,604",93,0,8
213,11,22,2,6,2,"251,818",96,0,3
214,11,23,8,3,1,"205,917",92,0,1
215,11,22,2,6,2,"302,585",99,0,8
216,11,18,1,3,2,"308,593",95,0,8
217,11,26,7,3,1,"239,554",97,0,4
218,11,26,10,2,4,"265,017",88,0,8
219,11,22,3,6,3,"244,387",98,0,8
220,11,6,3,5,2,"343,253",95,0,8
221,11,19,3,2,3,"222,196",99,0,104
222,11,19,12,2,2,"236,629",93,0,8
223,11,26,10,4,4,"253,465",93,0,8
224,11,22,7,2,1,"230,29",92,0,8
225,11,24,8,3,1,"205,917",92,0,8
226,11,26,8,3,1,"249,797",93,0,8
227,11,18,8,4,1,"205,917",92,0,8
228,11,18,8,2,1,"205,917",92,0,8
229,11,24,10,2,4,"265,017",88,0,8
230,11,23,8,3,1,"265,615",94,0,4
231,11,19,8,6,1,"265,615",94,0,8
232,12,19,6,6,3,"275,089",96,0,8
233,12,22,6,5,1,"275,089",96,0,8
234,12,19,2,2,2,"264,249",97,0,2
235,12,18,12,2,4,"280,549",98,0,8
236,12,19,7,6,1,"264,604",93,0,2
237,12,12,2,4,2,"264,249",97,0,3
238,12,22,6,4,1,"275,089",96,0,3
239,13,22,10,2,4,"265,017",88,0,8
240,13,0,3,4,2,"244,387",98,1,0
241,13,10,5,2,3,"246,074",99,0,8
242,13,23,10,3,4,"284,853",91,0,3
243,13,13,7,2,1,"264,604",93,0,80
244,13,23,9,3,4,"261,756",87,0,8
245,13,7,4,2,3,"246,288",91,0,24
246,13,26,10,3,4,"284,853",91,0,8
247,13,10,10,5,4,"284,853",91,0,8
248,13,23,10,3,4,"284,853",91,0,8
249,13,10,10,6,4,"284,853",91,0,8
250,13,22,4,2,3,"239,409",98,0,4
251,13,26,11,6,4,"268,519",93,0,8
252,13,22,3,4,3,"222,196",99,0,8
253,13,0,9,4,4,"241,476",92,1,0
254,14,28,5,5,3,"378,884",92,0,2
255,14,23,9,4,1,"241,476",92,0,2
256,14,28,4,3,3,"326,452",96,0,1
257,14,25,2,2,2,"264,249",97,0,5
258,14,28,4,3,3,"246,288",91,0,4
259,14,23,4,5,3,"326,452",96,0,1
260,14,28,5,2,3,"378,884",92,0,1
261,14,23,9,3,1,"261,756",87,0,2
262,14,23,1,3,2,"330,061",100,0,4
263,14,23,6,2,3,"377,55",94,0,4
264,14,28,5,2,3,"378,884",92,0,2
265,14,23,1,2,2,"330,061",100,0,2
266,14,23,5,4,3,"237,656",99,0,2
267,14,25,7,6,1,"275,312",98,0,2
268,14,28,2,5,2,"302,585",99,0,2
269,14,11,11,2,4,"284,031",97,0,120
270,14,19,7,3,1,"275,312",98,0,16
271,14,13,3,3,2,"343,253",95,0,8
272,14,6,11,6,4,"306,345",93,0,8
273,14,19,7,2,1,"239,554",97,0,40
274,14,10,5,2,3,"237,656",99,0,48
275,14,10,5,6,3,"237,656",99,0,8
276,14,12,4,4,3,"326,452",96,0,24
277,14,18,12,3,2,"280,549",98,0,80
278,14,1,3,2,2,"343,253",95,0,16
279,14,18,1,3,2,"308,593",95,0,8
280,14,18,1,3,2,"313,532",96,0,8
281,14,13,3,4,3,"222,196",99,0,24
282,14,10,11,2,4,"306,345",93,0,32
283,15,28,10,3,4,"265,017",88,0,4
284,15,12,11,6,4,"284,031",97,0,4
285,15,28,12,4,4,"280,549",98,0,1
286,15,28,9,6,1,"294,217",81,0,4
287,15,28,7,5,1,"230,29",92,0,1
288,15,28,4,4,3,"326,452",96,0,1
289,15,0,10,3,4,"265,017",88,1,0
290,15,28,4,6,3,"326,452",96,0,1
291,15,28,9,6,4,"294,217",81,0,3
292,15,28,9,3,1,"294,217",81,0,3
293,15,23,4,6,3,"326,452",96,0,3
294,15,23,11,5,4,"306,345",93,0,3
295,15,23,11,2,4,"284,031",97,0,1
296,15,22,3,4,2,"343,253",95,0,8
297,15,14,10,3,4,"253,465",93,0,8
298,15,23,10,4,4,"284,853",91,0,1
299,15,22,5,4,3,"237,656",99,0,8
300,15,23,10,5,4,"253,465",93,0,5
301,15,23,11,5,4,"306,345",93,0,5
302,15,28,11,4,4,"268,519",93,0,2
303,15,28,10,4,4,"284,853",91,0,2
304,15,23,10,6,4,"284,853",91,0,1
305,15,28,9,5,1,"261,756",87,0,2
306,15,28,8,5,1,"249,797",93,0,2
307,15,23,2,3,2,"251,818",96,0,2
308,15,14,11,2,4,"306,345",93,0,40
309,15,7,9,2,4,"294,217",81,0,40
310,15,13,6,2,3,"253,957",95,0,40
311,15,14,9,2,4,"241,476",92,0,32
312,15,23,9,5,1,"241,476",92,0,4
313,15,0,11,3,4,"268,519",93,1,0
314,15,28,5,5,3,"237,656",99,0,2
315,15,3,1,4,2,"330,061",100,0,8
316,15,23,6,5,3,"377,55",94,0,4
317,15,28,6,5,3,"275,089",96,0,2
318,15,28,8,5,1,"249,797",93,0,4
319,16,7,6,4,3,"275,089",96,0,8
320,16,23,3,4,3,"222,196",99,0,8
321,17,10,5,4,3,"237,656",99,0,8
322,17,18,1,6,2,"313,532",96,0,3
323,17,17,3,3,2,"343,253",95,0,8
324,17,11,5,2,3,"246,074",99,0,2
325,17,25,5,6,3,"237,656",99,0,8
326,17,22,3,3,2,"244,387",98,0,8
327,17,25,1,4,2,"313,532",96,0,2
328,17,8,5,2,3,"246,074",99,0,3
329,17,25,1,6,2,"313,532",96,0,2
330,17,11,3,2,2,"343,253",95,0,40
331,17,16,4,3,3,"246,288",91,0,2
332,17,25,8,2,1,"249,797",93,0,1
333,17,18,12,6,4,"280,549",98,0,2
334,17,25,8,3,1,"249,797",93,0,8
335,17,21,11,4,4,"306,345",93,0,8
336,17,21,11,5,4,"306,345",93,0,8
337,17,16,5,6,3,"237,656",99,0,1
338,17,25,1,5,2,"313,532",96,0,2
339,17,8,3,5,2,"343,253",95,0,8
340,17,23,2,6,2,"264,249",97,0,2
341,18,0,11,3,4,"284,031",97,1,0
342,18,26,7,3,1,"275,312",98,0,8
343,18,1,7,2,1,"275,312",98,0,8
344,18,1,7,3,1,"275,312",98,0,8
345,18,10,5,5,3,"237,656",99,0,8
346,18,26,4,6,3,"239,409",98,0,4
347,18,2,11,4,4,"268,519",93,0,24
348,18,11,6,3,1,"253,957",95,0,1
349,18,23,8,5,1,"249,797",93,0,16
350,18,10,8,4,1,"205,917",92,0,8
351,18,0,5,4,3,"378,884",92,1,0
352,18,25,7,6,1,"230,29",92,0,8
353,18,13,5,6,3,"246,074",99,0,8
354,18,23,4,4,3,"239,409",98,0,8
355,18,18,2,2,2,"302,585",99,0,8
356,18,23,2,3,2,"302,585",99,0,1
357,19,0,9,3,1,"294,217",81,1,0
358,19,11,8,5,1,"205,917",92,0,4
359,19,28,3,3,2,"343,253",95,0,2
360,20,28,2,6,2,"251,818",96,0,3
361,20,19,3,3,2,"343,253",95,0,8
362,20,22,9,6,1,"241,476",92,0,8
363,20,28,8,6,1,"265,615",94,0,4
364,20,28,4,6,3,"239,409",98,0,3
365,20,1,7,2,1,"239,554",97,0,8
366,20,28,12,6,4,"236,629",93,0,4
367,20,13,3,4,2,"343,253",95,0,8
368,20,26,12,6,4,"261,306",97,0,8
369,20,28,9,6,1,"294,217",81,0,4
370,20,28,3,6,2,"343,253",95,0,4
371,20,26,3,2,2,"343,253",95,0,16
372,20,19,10,5,4,"253,465",93,0,16
373,20,28,5,6,3,"246,074",99,0,3
374,20,28,8,2,1,"249,797",93,0,3
375,20,28,2,6,2,"302,585",99,0,2
376,20,23,9,6,4,"241,476",92,0,4
377,20,28,11,6,4,"306,345",93,0,4
378,20,28,4,6,3,"326,452",96,0,4
379,20,23,8,6,1,"205,917",92,0,4
380,20,1,7,3,1,"239,554",97,0,8
381,20,26,7,2,1,"230,29",92,0,4
382,20,28,6,6,3,"253,957",95,0,4
383,20,0,7,5,1,"275,312",98,1,0
384,20,13,7,6,1,"230,29",92,0,8
385,20,19,3,2,3,"244,387",98,0,8
386,20,26,12,4,2,"236,629",93,0,8
387,20,15,11,6,4,"284,031",97,0,8
388,20,28,10,6,4,"253,465",93,0,3
389,20,10,11,4,4,"284,031",97,0,8
390,20,0,9,2,4,"241,476",92,1,0
391,20,28,4,6,3,"239,409",98,0,4
392,20,28,12,6,4,"261,306",97,0,3
393,20,11,7,4,1,"239,554",97,0,8
394,20,19,4,6,3,"326,452",96,0,56
395,20,0,10,3,4,"265,017",88,1,0
396,20,23,7,6,1,"239,554",97,0,4
397,20,28,8,6,1,"205,917",92,0,4
398,20,28,10,6,4,"265,017",88,0,3
399,20,28,3,6,2,"244,387",98,0,4
400,20,28,11,6,4,"284,031",97,0,3
401,20,13,3,6,2,"343,253",95,0,40
402,21,7,7,2,1,"230,29",92,0,8
403,21,11,8,5,1,"265,615",94,0,8
404,21,0,6,2,3,"275,089",96,1,0
